date,ticker,percent_gain
2007-02-26,GR,166.67
2007-03-02,GT,3.94
2007-03-05,ASN,5.26
2007-03-06,ASN,9.02
2007-03-07,BSC,24.46
2007-03-08,BSC,59.09
2007-03-16,PBG,6.65
2007-03-20,JNPR,3.59
2007-03-21,ASN,8.49
2007-03-22,ACS,10.5
2007-03-23,EP,20.0
2007-03-26,TIN,4.49
2007-03-27,LEN,3.61
2007-03-28,GR,12.31
2007-03-29,CFC,31.4
2007-03-30,HRB,3.39
2007-04-02,EP,9.52
2007-04-03,DXC,3.34
2007-04-05,CPWR,12.5
2007-04-10,NOV,3.2
2007-04-11,EP,4.55
2007-04-12,EP,9.09
2007-04-13,CPWR,24.0
2007-04-16,BRL,5.71
2007-04-26,CPWR,17.65
2007-05-02,JNY,5.72
2007-05-03,EP,9.09
2007-05-04,OMX,7.68
2007-05-16,BSC,7.69
2007-05-22,GR,6.45
2007-05-23,EP,10.0
2007-05-24,BRL,6.25
2007-05-31,CIEN,6.16
2007-06-01,KR,3.46
2007-06-04,CTAS,4.0
2007-06-06,GR,11.11
2007-06-12,TIN,5.79
2007-06-13,AVB,6.12
2007-06-14,PGR,6.65
2007-06-26,EP,5.26
2007-07-02,SCHW,6.8
2007-07-03,EP,10.0
2007-07-05,DGX,6.59
2007-07-06,TGT,6.07
2007-07-09,CMI,7.59
2007-07-10,JBL,5.33
2007-07-12,BRL,6.82
2007-07-13,CPWR,8.33
2007-07-17,KLAC,8.12
2007-07-23,TEL,10.85
2007-07-24,BSC,7.48
2007-07-25,CPWR,31.58
2007-08-06,MBI,10.61
2007-08-10,WEN,17.81
2007-08-13,DXC,8.4
2007-08-14,BSC,11.04
2007-08-24,GR,22.92
2007-08-27,ASN,5.88
2007-08-28,BRL,7.14
2007-08-30,HRB,7.24
2007-08-31,CPWR,5.26
2007-09-04,WU,7.37
2007-09-07,FNMA,3.46
2007-09-10,ACS,6.25
2007-09-14,DHI,6.38
2007-09-20,JBL,3.05
2007-09-21,WU,7.02
2007-09-24,WU,4.6
2007-09-25,BOL,24.0
2007-09-26,CME,4.15
2007-09-27,MCO,5.69
2007-09-28,BRL,18.64
2007-10-01,HAS,7.04
2007-10-02,WEN,10.38
2007-10-03,BRL,24.29
2007-10-04,TRB,4.55
2007-10-08,AKAM,8.37
2007-10-09,BEN,5.88
2007-10-10,ANDV,8.55
2007-10-11,GR,9.09
2007-10-12,GR,5.36
2007-10-15,BOL,20.0
2007-10-16,BRL,8.97
2007-10-24,PCAR,5.58
2007-10-25,GR,33.33
2007-10-26,CNX,5.27
2007-10-29,TRB,16.67
2007-10-30,GT,5.08
2007-10-31,NEM,7.38
2007-11-01,AIZ,3.85
2007-11-05,MTG,11.65
2007-11-09,MTG,20.0
2007-11-12,LUV,8.46
2007-11-13,MBI,12.23
2007-11-16,VRSN,7.8
2007-11-19,VRSN,4.74
2007-11-20,BRL,10.91
2007-11-21,BRL,9.09
2007-11-23,GR,23.08
2007-11-26,VRSN,2.95
2007-12-04,AZO,10.44
2007-12-10,MBI,12.64
2007-12-11,HRB,3.76
2007-12-12,CFC,11.54
2007-12-14,ANDV,6.12
2007-12-17,SLM,5.05
2007-12-21,KEY,11.5
2007-12-24,SLM,9.42
2007-12-27,BRL,8.86
2007-12-31,EP,66.67
2008-01-02,NEM,5.33
2008-01-03,EP,5.0
2008-01-04,NEE,3.54
2008-01-07,CPWR,140.0
2008-01-15,WU,4.59
2008-01-22,MBI,31.34
2008-01-23,MBI,40.64
2008-01-24,CNX,10.42
2008-01-29,UIS,10.31
2008-01-30,RHI,9.73
2008-02-05,WHR,6.42
2008-02-11,VIAV,11.58
2008-02-12,BSC,5.26
2008-02-13,JNY,7.19
2008-02-19,BSC,9.41
2008-02-25,MBI,17.58
2008-02-26,LEN,10.74
